  0,  53.5794,  10.0263
  2000,  53.5794,  10.0263
  2000,  53.5795,  10.026
  3000,  53.5795,  10.026
  3000,  53.5795,  10.026
  3000,  53.5795,  10.026
  4000,  53.5795,  10.026
  5000,  53.5795,  10.026
  6000,  53.5795,  10.026
  7000,  53.5795,  10.026
  8000,  53.5795,  10.026
  9000,  53.5794,  10.026
  10000,  53.5794,  10.0259
  11000,  53.5795,  10.026
  12000,  53.5795,  10.026
  13000,  53.5795,  10.026
  14000,  53.5794,  10.0259
  15000,  53.5794,  10.0259
  16000,  53.5794,  10.0259
  17000,  53.5794,  10.0259
  18000,  53.5794,  10.0259
  19000,  53.5793,  10.0259
  20000,  53.5793,  10.0258
  21000,  53.5793,  10.0258
  22000,  53.5793,  10.0258
  23000,  53.5793,  10.0258
  24000,  53.5793,  10.0258
  25000,  53.5793,  10.0258
  26000,  53.5793,  10.0258
  27000,  53.5793,  10.0258
  27000,  53.5794,  10.0257
  28000,  53.5794,  10.0257
  29000,  53.5794,  10.0257
  30000,  53.5794,  10.0257
  31000,  53.5794,  10.0257
  32000,  53.5794,  10.0256
  33000,  53.5794,  10.0256
  34000,  53.5794,  10.0256
  35000,  53.5793,  10.0256
  36000,  53.5793,  10.0255
  37000,  53.5793,  10.0254
  38000,  53.5793,  10.0253
  39000,  53.5793,  10.0253
  40000,  53.5793,  10.0252
  41000,  53.5793,  10.0252
  42000,  53.5793,  10.0252
  43000,  53.5793,  10.0252
  43000,  53.5793,  10.0252
  44000,  53.5793,  10.0252
  45000,  53.5793,  10.0252
  46000,  53.5793,  10.0252
  47000,  53.5793,  10.0252
  48000,  53.5793,  10.0251
  48000,  53.5793,  10.0251
  49000,  53.5793,  10.0251
  50000,  53.5793,  10.0251
  51000,  53.5793,  10.0251
  52000,  53.5793,  10.0251
  53000,  53.5793,  10.0251
  54000,  53.5793,  10.0251
  54000,  53.5793,  10.0251
  55000,  53.5793,  10.0251
  56000,  53.5793,  10.0251
  57000,  53.5793,  10.025
  58000,  53.5793,  10.025
  58000,  53.5793,  10.025
  59000,  53.5793,  10.025
  60000,  53.5793,  10.025
  61000,  53.5793,  10.025
  62000,  53.5793,  10.025
